,NHSPATOT Index_ratio
11208,1411.223033644868
11209,1411.223033644868
11210,1411.223033644868
11211,1411.223033644868
11212,1411.223033644868
11213,1411.223033644868
11214,1411.223033644868
11215,1411.223033644868
11216,1411.223033644868
11217,1411.223033644868
11218,1411.223033644868
11219,1411.223033644868
11220,1411.223033644868
11221,1411.223033644868
11222,1411.223033644868
11223,1411.223033644868
11224,1411.223033644868
11225,1411.223033644868
11226,1411.223033644868
11227,1411.223033644868
11228,1411.223033644868
11229,1411.223033644868
11230,1126.5306831909477
11231,1126.5306831909477
11232,1126.5306831909477
11233,1126.5306831909477
11234,1126.5306831909477
11235,1126.5306831909477
11236,1126.5306831909477
11237,1126.5306831909477
11238,1126.5306831909477
11239,1126.5306831909477
11240,1126.5306831909477
11241,1126.5306831909477
11242,1126.5306831909477
11243,1126.5306831909477
11244,1126.5306831909477
11245,1126.5306831909477
11246,1126.5306831909477
11247,1126.5306831909477
11248,1126.5306831909477
11249,1126.5306831909477
11250,1126.5306831909477
11251,1126.5306831909477
11252,1126.5306831909477
11253,1126.5306831909477
11254,1126.5306831909477
11255,1126.5306831909477
11256,1126.5306831909477
11257,1126.5306831909477
11258,1126.5306831909477
11259,1126.5306831909477
11260,1126.5306831909477
11261,1126.5306831909477
