,NHSLTOT Index_ratio
11110,778.3443721548169
11111,778.3443721548169
11112,778.3443721548169
11113,778.3443721548169
11114,778.3443721548169
11115,778.3443721548169
11116,778.3443721548169
11117,778.3443721548169
11118,778.3443721548169
11119,778.3443721548169
11120,778.3443721548169
11121,778.3443721548169
11122,778.3443721548169
11123,778.3443721548169
11124,778.3443721548169
11125,778.3443721548169
11126,778.3443721548169
11127,778.3443721548169
11128,778.3443721548169
11129,778.3443721548169
11130,778.3443721548169
11131,778.3443721548169
11132,778.3443721548169
11133,778.3443721548169
11134,778.3443721548169
11135,778.3443721548169
11136,778.3443721548169
11137,778.3443721548169
11138,1406.3538854098229
11139,1406.3538854098229
11140,1406.3538854098229
11141,1406.3538854098229
11142,1406.3538854098229
11143,1406.3538854098229
11144,1406.3538854098229
11145,1406.3538854098229
11146,1406.3538854098229
11147,1406.3538854098229
11148,1406.3538854098229
11149,1406.3538854098229
11150,1406.3538854098229
11151,1406.3538854098229
11152,1406.3538854098229
11153,1406.3538854098229
11154,1406.3538854098229
11155,1406.3538854098229
11156,1406.3538854098229
11157,1406.3538854098229
11158,1406.3538854098229
11159,1406.3538854098229
11160,1406.3538854098229
11161,1406.3538854098229
11162,1406.3538854098229
11163,1406.3538854098229
11164,1406.3538854098229
11165,1406.3538854098229
11166,1406.3538854098229
11167,1406.3538854098229
11168,1406.3538854098229
11169,1406.3538854098229
11170,1406.3538854098229
11171,1406.3538854098229
11172,1406.3538854098229
11173,1406.3538854098229
11174,1406.3538854098229
11175,1406.3538854098229
11176,1406.3538854098229
11177,1406.3538854098229
11178,1406.3538854098229
11179,1406.3538854098229
11180,1406.3538854098229
11181,1406.3538854098229
11182,1406.3538854098229
11183,1406.3538854098229
11184,1406.3538854098229
11185,1406.3538854098229
11186,1406.3538854098229
11187,1406.3538854098229
11188,1406.3538854098229
11189,1406.3538854098229
11190,1406.3538854098229
11191,1406.3538854098229
11192,1406.3538854098229
11193,1406.3538854098229
11194,1406.3538854098229
11195,1406.3538854098229
11196,1406.3538854098229
11197,1406.3538854098229
11198,1406.3538854098229
11199,1406.3538854098229
11200,1406.3538854098229
11201,1406.3538854098229
11202,1406.3538854098229
11203,1406.3538854098229
11204,1406.3538854098229
11205,1406.3538854098229
11206,1406.3538854098229
11207,1406.3538854098229
11208,1406.3538854098229
11209,1406.3538854098229
11210,1406.3538854098229
11211,1406.3538854098229
11212,1406.3538854098229
11213,1406.3538854098229
11214,1406.3538854098229
11215,1406.3538854098229
11216,1406.3538854098229
11217,1406.3538854098229
11218,1406.3538854098229
11219,1406.3538854098229
11220,1406.3538854098229
11221,1406.3538854098229
11222,1406.3538854098229
11223,1406.3538854098229
11224,1406.3538854098229
11225,1406.3538854098229
11226,1406.3538854098229
11227,1406.3538854098229
11228,1406.3538854098229
11229,1406.3538854098229
11230,929.7694290455846
11231,929.7694290455846
11232,929.7694290455846
11233,929.7694290455846
11234,929.7694290455846
11235,929.7694290455846
