,NAPMPMI Index_ratio
11177,1010.774426790981
11178,1010.774426790981
11179,1010.774426790981
11180,1010.774426790981
11181,1010.774426790981
11182,1010.774426790981
11183,1010.774426790981
11184,1010.774426790981
11185,1010.774426790981
11186,1010.774426790981
11187,1010.774426790981
11188,1010.774426790981
11189,1010.774426790981
11190,1010.774426790981
11191,1010.774426790981
11192,1010.774426790981
11193,1010.774426790981
11194,1010.774426790981
11195,1010.774426790981
11196,1010.774426790981
11197,1010.774426790981
11198,1010.774426790981
11199,1010.774426790981
11200,1010.774426790981
11201,1010.774426790981
11202,1010.774426790981
11203,1010.774426790981
11204,1010.774426790981
11205,1010.774426790981
11206,1010.774426790981
11207,1010.774426790981
11208,1010.774426790981
11209,1010.774426790981
11210,1010.774426790981
11211,1010.774426790981
11212,1010.774426790981
11213,1010.774426790981
11214,1010.774426790981
11215,1010.774426790981
11216,1010.774426790981
11217,1010.774426790981
11218,1010.774426790981
11219,1010.774426790981
11220,1010.774426790981
11221,1010.774426790981
11222,1010.774426790981
11223,1010.774426790981
11224,1010.774426790981
11225,1010.774426790981
11226,1010.774426790981
11227,1010.774426790981
11228,1010.774426790981
11229,1010.774426790981
11230,1474.054735854038
11231,1474.054735854038
11232,1474.054735854038
11233,1474.054735854038
11234,1474.054735854038
11235,1474.054735854038
11236,1474.054735854038
11237,1474.054735854038
11238,1474.054735854038
11239,1474.054735854038
11240,1474.054735854038
11241,1474.054735854038
11242,1474.054735854038
11243,1474.054735854038
11244,1474.054735854038
11245,1474.054735854038
11246,1474.054735854038
11247,1474.054735854038
11248,1474.054735854038
11249,1474.054735854038
11250,1474.054735854038
11251,1474.054735854038
11252,1474.054735854038
11253,1474.054735854038
11254,1474.054735854038
11255,1474.054735854038
11256,1474.054735854038
11257,1474.054735854038
11258,1474.054735854038
11259,1474.054735854038
11260,1474.054735854038
11261,1474.054735854038
11262,1474.054735854038
11263,1474.054735854038
11264,1474.054735854038
11265,1474.054735854038
11266,1474.054735854038
11267,1474.054735854038
11268,1474.054735854038
11269,1474.054735854038
11270,1474.054735854038
11271,1474.054735854038
11272,1474.054735854038
11273,1474.054735854038
11274,1474.054735854038
11275,1474.054735854038
11276,1474.054735854038
11277,1474.054735854038
11278,1474.054735854038
11279,1474.054735854038
11280,1474.054735854038
