,CPUPXCHG Index_ratio
10889,1121.8592964824122
10890,1121.8592964824122
10891,1121.8592964824122
10892,1121.8592964824122
10893,1121.8592964824122
10894,1121.8592964824122
10895,1121.8592964824122
10896,1121.8592964824122
10897,1121.8592964824122
10898,1121.8592964824122
10899,1121.8592964824122
10900,1121.8592964824122
10901,1121.8592964824122
10902,1121.8592964824122
10903,1121.8592964824122
10904,1121.8592964824122
10905,1121.8592964824122
10906,1121.8592964824122
10907,1121.8592964824122
10908,1121.8592964824122
10909,1121.8592964824122
10910,1121.8592964824122
10911,1121.8592964824122
10912,1121.8592964824122
10913,1121.8592964824122
10914,1121.8592964824122
10915,1121.8592964824122
10916,1121.8592964824122
10917,1121.8592964824122
10918,1121.8592964824122
10919,1121.8592964824122
10920,1121.8592964824122
10921,1121.8592964824122
10922,1121.8592964824122
10923,1121.8592964824122
10924,1121.8592964824122
10925,1121.8592964824122
10926,1121.8592964824122
10927,1121.8592964824122
10928,1121.8592964824122
10929,1121.8592964824122
10930,1121.8592964824122
10931,1121.8592964824122
10932,1121.8592964824122
10933,1121.8592964824122
10934,1121.8592964824122
10935,1121.8592964824122
10936,1121.8592964824122
10937,1121.8592964824122
10938,1121.8592964824122
10939,1121.8592964824122
10940,1121.8592964824122
10941,1121.8592964824122
10942,1121.8592964824122
10943,1121.8592964824122
10944,1121.8592964824122
10945,1121.8592964824122
10946,1121.8592964824122
10947,1121.8592964824122
10948,1121.8592964824122
10949,1121.8592964824122
10950,1121.8592964824122
10951,1121.8592964824122
10952,1121.8592964824122
10953,1121.8592964824122
10954,1121.8592964824122
10955,1121.8592964824122
10956,1201.1862717349843
10957,1201.1862717349843
10958,1201.1862717349843
10959,1201.1862717349843
10960,1201.1862717349843
10961,1201.1862717349843
10962,1201.1862717349843
10963,1201.1862717349843
10964,1201.1862717349843
10965,1201.1862717349843
10966,1201.1862717349843
10967,1201.1862717349843
10968,1201.1862717349843
10969,1201.1862717349843
10970,1201.1862717349843
10971,1201.1862717349843
10972,1201.1862717349843
10973,1201.1862717349843
10974,1201.1862717349843
10975,1201.1862717349843
10976,1201.1862717349843
10977,1201.1862717349843
10978,1201.1862717349843
10979,1201.1862717349843
10980,1201.1862717349843
10981,1201.1862717349843
10982,1201.1862717349843
10983,1201.1862717349843
10984,1201.1862717349843
10985,1201.1862717349843
10986,1201.1862717349843
10987,1201.1862717349843
10988,1201.1862717349843
10989,1201.1862717349843
10990,1201.1862717349843
10991,1201.1862717349843
10992,1201.1862717349843
10993,1201.1862717349843
10994,1201.1862717349843
10995,1201.1862717349843
10996,1201.1862717349843
10997,1201.1862717349843
10998,1201.1862717349843
10999,1201.1862717349843
11000,1201.1862717349843
11001,1201.1862717349843
11002,1201.1862717349843
11003,1201.1862717349843
11004,1201.1862717349843
11005,1201.1862717349843
11006,1201.1862717349843
11007,1201.1862717349843
11008,1201.1862717349843
11009,1201.1862717349843
11010,1201.1862717349843
11011,1201.1862717349843
11012,1201.1862717349843
11013,1201.1862717349843
11014,1201.1862717349843
11015,1201.1862717349843
11016,1201.1862717349843
11017,1201.1862717349843
11018,1201.1862717349843
11019,1201.1862717349843
11020,1201.1862717349843
11021,1201.1862717349843
11022,1201.1862717349843
11023,1201.1862717349843
11024,1201.1862717349843
11025,1201.1862717349843
11026,1201.1862717349843
11027,1201.1862717349843
11028,1201.1862717349843
11029,1201.1862717349843
11030,1201.1862717349843
11031,1201.1862717349843
11032,1201.1862717349843
11033,1201.1862717349843
11034,1201.1862717349843
11035,1201.1862717349843
11036,1201.1862717349843
11037,1201.1862717349843
11038,1201.1862717349843
11039,1201.1862717349843
11040,1201.1862717349843
11041,1201.1862717349843
11042,1201.1862717349843
11043,1201.1862717349843
11044,1201.1862717349843
11045,1201.1862717349843
11046,1201.1862717349843
11047,940.6220546654097
11048,940.6220546654097
11049,940.6220546654097
11050,940.6220546654097
11051,940.6220546654097
11052,940.6220546654097
11053,940.6220546654097
11054,940.6220546654097
11055,940.6220546654097
11056,940.6220546654097
11057,940.6220546654097
11058,940.6220546654097
11059,940.6220546654097
11060,940.6220546654097
11061,940.6220546654097
11062,940.6220546654097
11063,940.6220546654097
11064,940.6220546654097
11065,940.6220546654097
11066,940.6220546654097
11067,940.6220546654097
11068,940.6220546654097
11069,940.6220546654097
11070,940.6220546654097
11071,940.6220546654097
11072,940.6220546654097
11073,940.6220546654097
11074,940.6220546654097
11075,940.6220546654097
11076,940.6220546654097
11077,940.6220546654097
11078,940.6220546654097
11079,940.6220546654097
11080,940.6220546654097
11081,940.6220546654097
11082,940.6220546654097
11083,940.6220546654097
11084,940.6220546654097
11085,940.6220546654097
11086,940.6220546654097
11087,940.6220546654097
11088,940.6220546654097
11089,940.6220546654097
11090,940.6220546654097
11091,940.6220546654097
11092,940.6220546654097
11093,940.6220546654097
11094,940.6220546654097
11095,940.6220546654097
11096,940.6220546654097
11097,940.6220546654097
11098,940.6220546654097
11099,940.6220546654097
11100,940.6220546654097
11101,940.6220546654097
11102,940.6220546654097
11103,940.6220546654097
11104,940.6220546654097
11105,940.6220546654097
11106,940.6220546654097
11107,940.6220546654097
11108,940.6220546654097
11109,940.6220546654097
11110,940.6220546654097
11111,940.6220546654097
11112,940.6220546654097
11113,940.6220546654097
11114,940.6220546654097
11115,940.6220546654097
11116,940.6220546654097
11117,940.6220546654097
11118,940.6220546654097
11119,940.6220546654097
11120,940.6220546654097
11121,940.6220546654097
11122,940.6220546654097
11123,940.6220546654097
11124,940.6220546654097
11125,940.6220546654097
11126,940.6220546654097
11127,940.6220546654097
11128,940.6220546654097
11129,940.6220546654097
11130,940.6220546654097
11131,940.6220546654097
11132,940.6220546654097
11133,940.6220546654097
11134,940.6220546654097
11135,940.6220546654097
11136,940.6220546654097
11137,940.6220546654097
11138,453.92959832708897
11139,453.92959832708897
11140,453.92959832708897
11141,453.92959832708897
11142,453.92959832708897
11143,453.92959832708897
11144,453.92959832708897
11145,453.92959832708897
11146,453.92959832708897
11147,453.92959832708897
11148,453.92959832708897
11149,453.92959832708897
11150,453.92959832708897
11151,453.92959832708897
11152,453.92959832708897
11153,453.92959832708897
11154,453.92959832708897
11155,453.92959832708897
11156,453.92959832708897
11157,453.92959832708897
11158,453.92959832708897
11159,453.92959832708897
11160,453.92959832708897
11161,453.92959832708897
11162,453.92959832708897
11163,453.92959832708897
11164,453.92959832708897
11165,453.92959832708897
11166,453.92959832708897
11167,453.92959832708897
11168,453.92959832708897
11169,453.92959832708897
11170,453.92959832708897
11171,453.92959832708897
11172,453.92959832708897
11173,453.92959832708897
11174,453.92959832708897
11175,453.92959832708897
11176,453.92959832708897
11177,453.92959832708897
11178,453.92959832708897
11179,453.92959832708897
11180,453.92959832708897
11181,453.92959832708897
11182,453.92959832708897
11183,453.92959832708897
11184,453.92959832708897
11185,453.92959832708897
11186,453.92959832708897
11187,453.92959832708897
11188,453.92959832708897
11189,453.92959832708897
11190,453.92959832708897
11191,453.92959832708897
11192,453.92959832708897
11193,453.92959832708897
11194,453.92959832708897
11195,453.92959832708897
11196,453.92959832708897
11197,453.92959832708897
11198,453.92959832708897
11199,453.92959832708897
11200,453.92959832708897
11201,453.92959832708897
11202,453.92959832708897
11203,453.92959832708897
11204,453.92959832708897
11205,453.92959832708897
11206,453.92959832708897
11207,453.92959832708897
11208,453.92959832708897
11209,453.92959832708897
11210,453.92959832708897
11211,453.92959832708897
11212,453.92959832708897
11213,453.92959832708897
11214,453.92959832708897
11215,453.92959832708897
11216,453.92959832708897
11217,453.92959832708897
11218,453.92959832708897
11219,453.92959832708897
11220,453.92959832708897
11221,453.92959832708897
11222,453.92959832708897
11223,453.92959832708897
11224,453.92959832708897
11225,453.92959832708897
11226,453.92959832708897
11227,453.92959832708897
11228,453.92959832708897
11229,453.92959832708897
11230,2146.288209606986
11231,2146.288209606986
11232,2146.288209606986
11233,2146.288209606986
11234,2146.288209606986
11235,2146.288209606986
11236,2146.288209606986
11237,2146.288209606986
11238,2146.288209606986
11239,2146.288209606986
11240,2146.288209606986
11241,2146.288209606986
11242,2146.288209606986
11243,2146.288209606986
11244,2146.288209606986
11245,2146.288209606986
11246,2146.288209606986
